Time,RobotPosition,AxialForce,UnscrewingTorque, comment
0.0,1.0,0.0,0.0, approach
0.5,0.5,0.2,0.0, approach
1.0,0.0,0.5,0.0, form-fit - touches screw head
1.5,0.0,-0.3,1.0, form-fit - tightening
2.0,0.0,0.1,-1.0, preparation- unscrewing
2.5,0.0,1.0,-0.8, preparation- unscrewing
3.0,0.2,1.0,-0.7, disassembly - unscrewing
3.5,0.4,0.9,-0.6, disassembly - unscrewing
4.0,0.6,0.8,-0.5, disassembly - unscrewing
4.5,0.8,0.7,-0.4, disassembly - unscrewing
5.0,1.0,0.5,-0.3, disassembly - unscrewing
5.5,2.0,0.0,0.0,  disassembly complete - retract
6.0,2.0,0.0,0.0,  retract
6.5,2.0,0.0,0.0,  retract complete

